TimestampUTC,PhaseName
2022-03-02 17:35:00+00:00,Luna Nueva
2022-03-06 09:30:00+00:00,Creciente Cóncava
2022-03-10 10:46:00+00:00,Cuarto Creciente
2022-03-14 12:57:00+00:00,Creciente Gibosa
2022-03-18 07:18:00+00:00,Luna Llena
2022-03-21 19:25:00+00:00,Menguante Gibosa
2022-03-25 05:38:00+00:00,Cuarto Menguante
2022-03-28 16:21:00+00:00,Menguante Cóncava
2022-04-01 06:25:00+00:00,Luna Nueva
2022-04-05 03:46:00+00:00,Creciente Cóncava
2022-04-09 06:48:00+00:00,Cuarto Creciente
2022-04-13 05:34:00+00:00,Creciente Gibosa
2022-04-16 18:56:00+00:00,Luna Llena
2022-04-20 03:05:00+00:00,Menguante Gibosa
2022-04-23 11:57:00+00:00,Cuarto Menguante
2022-04-27 01:10:00+00:00,Menguante Cóncava
2022-04-30 20:29:00+00:00,Luna Nueva
2022-05-04 21:54:00+00:00,Creciente Cóncava
2022-05-09 00:22:00+00:00,Cuarto Creciente
2022-05-12 19:05:00+00:00,Creciente Gibosa
2022-05-16 04:15:00+00:00,Luna Llena
2022-05-19 09:42:00+00:00,Menguante Gibosa
2022-05-22 18:44:00+00:00,Cuarto Menguante
2022-05-26 11:36:00+00:00,Menguante Cóncava
2022-05-30 11:31:00+00:00,Luna Nueva
2022-06-03 14:38:00+00:00,Creciente Cóncava
2022-06-07 14:49:00+00:00,Cuarto Creciente
2022-06-11 05:45:00+00:00,Creciente Gibosa
2022-06-14 11:52:00+00:00,Luna Llena
2022-06-17 16:16:00+00:00,Menguante Gibosa
2022-06-21 03:11:00+00:00,Cuarto Menguante
2022-06-25 00:11:00+00:00,Menguante Cóncava
2022-06-29 02:53:00+00:00,Luna Nueva
2022-07-03 05:12:00+00:00,Creciente Cóncava
2022-07-07 02:15:00+00:00,Cuarto Creciente
2022-07-10 14:03:00+00:00,Creciente Gibosa
2022-07-13 18:38:00+00:00,Luna Llena
2022-07-16 23:56:00+00:00,Menguante Gibosa
2022-07-20 14:19:00+00:00,Cuarto Menguante
2022-07-24 14:53:00+00:00,Menguante Cóncava
2022-07-28 17:56:00+00:00,Luna Nueva
2022-08-01 17:33:00+00:00,Creciente Cóncava
2022-08-05 11:07:00+00:00,Cuarto Creciente
2022-08-08 20:45:00+00:00,Creciente Gibosa
2022-08-12 01:36:00+00:00,Luna Llena
2022-08-15 09:52:00+00:00,Menguante Gibosa
2022-08-19 04:37:00+00:00,Cuarto Menguante
2022-08-23 07:15:00+00:00,Menguante Cóncava
2022-08-27 08:18:00+00:00,Luna Nueva
2022-08-31 03:58:00+00:00,Creciente Cóncava
2022-09-03 18:08:00+00:00,Cuarto Creciente
2022-09-07 02:51:00+00:00,Creciente Gibosa
2022-09-10 10:00:00+00:00,Luna Llena
2022-09-13 22:55:00+00:00,Menguante Gibosa
2022-09-17 21:53:00+00:00,Cuarto Menguante
2022-09-22 00:34:00+00:00,Menguante Cóncava
2022-09-25 21:55:00+00:00,Luna Nueva
2022-09-29 13:01:00+00:00,Creciente Cóncava
2022-10-03 00:15:00+00:00,Cuarto Creciente
2022-10-06 09:37:00+00:00,Creciente Gibosa
2022-10-09 20:55:00+00:00,Luna Llena
2022-10-13 15:19:00+00:00,Menguante Gibosa
2022-10-17 17:16:00+00:00,Cuarto Menguante
2022-10-21 18:07:00+00:00,Menguante Cóncava
2022-10-25 10:49:00+00:00,Luna Nueva
2022-10-28 21:20:00+00:00,Creciente Cóncava
2022-11-01 06:38:00+00:00,Cuarto Creciente
2022-11-04 18:22:00+00:00,Creciente Gibosa
2022-11-08 11:03:00+00:00,Luna Llena
2022-11-12 10:23:00+00:00,Menguante Gibosa
2022-11-16 13:28:00+00:00,Cuarto Menguante
2022-11-20 11:08:00+00:00,Menguante Cóncava
2022-11-23 22:58:00+00:00,Luna Nueva
2022-11-27 05:41:00+00:00,Creciente Cóncava
2022-11-30 14:37:00+00:00,Cuarto Creciente
2022-12-04 06:09:00+00:00,Creciente Gibosa
2022-12-08 04:09:00+00:00,Luna Llena
2022-12-12 06:41:00+00:00,Menguante Gibosa
2022-12-16 08:57:00+00:00,Cuarto Menguante
2022-12-20 02:41:00+00:00,Menguante Cóncava
2022-12-23 10:17:00+00:00,Luna Nueva
2022-12-26 14:55:00+00:00,Creciente Cóncava
2022-12-30 01:21:00+00:00,Cuarto Creciente
2023-01-02 21:17:00+00:00,Creciente Gibosa
2023-01-06 23:08:00+00:00,Luna Llena
2023-01-11 02:28:00+00:00,Menguante Gibosa
2023-01-15 02:11:00+00:00,Cuarto Menguante
2023-01-18 15:56:00+00:00,Menguante Cóncava
2023-01-21 20:54:00+00:00,Luna Nueva
2023-01-25 01:43:00+00:00,Creciente Cóncava
2023-01-28 15:19:00+00:00,Cuarto Creciente
2023-02-01 15:08:00+00:00,Creciente Gibosa
2023-02-05 18:29:00+00:00,Luna Llena
2023-02-09 20:08:00+00:00,Menguante Gibosa
2023-02-13 16:01:00+00:00,Cuarto Menguante
2023-02-17 02:34:00+00:00,Menguante Cóncava
2023-02-20 07:06:00+00:00,Luna Nueva
2023-02-23 14:28:00+00:00,Creciente Cóncava
2023-02-27 08:06:00+00:00,Cuarto Creciente
2023-03-03 10:21:00+00:00,Creciente Gibosa
2023-03-07 12:41:00+00:00,Luna Llena
2023-03-11 10:33:00+00:00,Menguante Gibosa
2023-03-15 02:09:00+00:00,Cuarto Menguante
2023-03-18 10:59:00+00:00,Menguante Cóncava
2023-03-21 17:24:00+00:00,Luna Nueva
2023-03-25 04:59:00+00:00,Creciente Cóncava
2023-03-29 02:33:00+00:00,Cuarto Creciente
2023-04-02 05:24:00+00:00,Creciente Gibosa
2023-04-06 04:35:00+00:00,Luna Llena
2023-04-09 21:25:00+00:00,Menguante Gibosa
2023-04-13 09:12:00+00:00,Cuarto Menguante
2023-04-16 18:08:00+00:00,Menguante Cóncava
2023-04-20 04:13:00+00:00,Luna Nueva
2023-04-23 20:43:00+00:00,Creciente Cóncava
